Orf;Name;Desc;"48hr VAN vs 48 hr NO ABX log2FC";"48hr VAN vs 48 hr NO ABX Adj. p-value";"48hr LZD vs 48 hr NO ABX log2FC";"48hr LZD vs 48 hr NO ABX Adj. p-value";"48hr CPT vs 48 hr NO ABX log2FC";"48hr CPT vs 48 hr NO ABX Adj. p-value";"48hr DEL vs 48 hr NO ABX log2FC";"48hr DEL vs 48 hr NO ABX Adj. p-value"
SAUSA300_RS11320;-;DUF1146 family protein;-1.36;0;-0.19;0.97452;0.02;1;-0.11;1
SAUSA300_RS11325;-;hypothetical protein;-2.12;1;1.89;0.74038;2.09;0.802;1.53;0.92432
SAUSA300_RS11365;atpB;F0F1 ATP synthase subunit A;-0.14;1;-0.14;1;-0.14;1;0;1
SAUSA300_RS11375;wecB;UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing);0.11;1;0.09;1;0.5;0.40231;0.16;0.94334
SAUSA300_RS11380;upp;uracil phosphoribosyltransferase;-1.62;0.0052;-2.32;0;-1.87;0;-2.26;0
SAUSA300_RS11385;-;serine hydroxymethyltransferase;-1.52;0;-1.79;0;-1.07;0;-1.55;0
SAUSA300_RS11390;-;TIGR01440 family protein;-1.6;0;-1.32;0;-1.24;0;-1.5;0
SAUSA300_RS11395;-;low molecular weight protein arginine phosphatase;0.68;0.95283;-0.62;0.62465;-0.22;1;-0.28;0.99525
SAUSA300_RS11400;-;L-threonylcarbamoyladenylate synthase;-0.23;1;-0.69;1;-0.61;1;-0.17;1
SAUSA300_RS11405;prmC;peptide chain release factor N(5)-glutamine methyltransferase;-0.22;0.99554;-0.53;0.39778;1.07;0.89681;-0.3;0.82127
SAUSA300_RS11415;-;thymidine kinase;-0.34;1;-1.94;0.72823;-1.32;0.87299;-2.27;0.76816
SAUSA300_RS11425;rho;transcription termination factor Rho;0.28;0.99124;1.74;0;1.6;0;1.41;0
SAUSA300_RS11430;-;aldehyde dehydrogenase family protein;0.43;0.91262;-0.17;0.86942;-0.04;1;-0.12;1
SAUSA300_RS11435;-;helix-turn-helix transcriptional regulator;1.61;0.96622;0.29;1;0.73;0.41385;0.51;0.84379
SAUSA300_RS11440;-;UDP-N-acetylglucosamine 1-carboxyvinyltransferase;0.42;0.63928;-0.01;1;0.23;0.88965;-0.19;0.88532
SAUSA300_RS11445;-;fructose-bisphosphate aldolase;-0.98;1;-1.07;1;-1.01;1;-0.27;1
SAUSA300_RS11450;-;DUF2529 domain-containing protein;0.75;0.85259;0.27;0.88768;0.17;0.98416;0.22;0.94334
SAUSA300_RS11460;rpoE;DNA-directed RNA polymerase subunit delta;-0.96;0.90275;-1.06;0.8327;1.08;0.69942;0.43;0.99525
SAUSA300_RS11465;-;GNAT family N-acetyltransferase;-0.3;0.99124;-0.44;0.52664;-0.24;0.97418;-0.33;0.85478
SAUSA300_RS11475;coaW;type II pantothenate kinase;0.68;1;2.43;0.26158;1.75;0.61022;3;0.59265
SAUSA300_RS11480;-;DUF2750 domain-containing protein;0.96;0.63928;0.26;0.94689;0.27;0.96952;0.44;0.74492
SAUSA300_RS11485;-;hypothetical protein;0.09;1;0.15;0.89186;0.32;0.48613;0.28;0.71063
SAUSA300_RS11490;-;M20 family metallopeptidase;-0.11;1;-0.34;0.61467;-0.06;1;-0.29;0.7329
SAUSA300_RS11495;-;S-ribosylhomocysteine lyase;0.05;1;-0.26;1;-0.3;1;-0.22;1
SAUSA300_RS11500;-;membrane protein;0.79;0.64902;0.34;0.6838;0.31;0.75076;0.16;1
SAUSA300_RS11505;-;pyrimidine-nucleoside phosphorylase;-0.07;1;0.03;1;-0.44;0.63197;-0.29;0.74492
SAUSA300_RS11515;deoC;deoxyribose-phosphate aldolase;0.91;0.67203;0.04;1;0.31;0.96952;-0.34;0.9739
SAUSA300_RS11520;deoD;purine-nucleoside phosphorylase;0.43;0.96622;0;1;0.14;1;-0.24;0.93411
SAUSA300_RS11525;-;DNA starvation/stationary phase protection protein;-0.09;1;-0.78;0.47302;-0.43;0.94332;-1.34;0.05614
SAUSA300_RS11530;-;thiol-disulfide oxidoreductase DCC family protein;-1.71;0.13582;0.02;1;0.09;1;-0.33;1
SAUSA300_RS11535;-;EVE domain-containing protein;-0.26;0.9575;0.15;0.93712;0.08;1;0.17;0.89558
SAUSA300_RS11540;-;hypothetical protein;0.21;1;-0.72;0.66252;-0.17;1;-0.69;0.76816
SAUSA300_RS11545;-;class I mannose-6-phosphate isomerase;1.99;0;0.61;0.34073;1;0.02389;0.79;0.0484
SAUSA300_RS11550;-;SDR family oxidoreductase;-0.73;0.69065;-0.27;0.89186;-0.19;0.99761;-0.61;0.40534
SAUSA300_RS11555;czrA;Zn(II)-responsive metalloregulatory transcriptional repressor CzrA;0.45;1;0.13;1;0.18;1;-0.02;1
SAUSA300_RS11560;czrB;CDF family zinc efflux transporter CzrB;0.28;1;0.64;0.16894;0.42;0.72322;0.18;1
SAUSA300_RS11565;-;lytic regulatory protein;0.43;0.88771;0.03;1;-0.02;1;-0.1;1
SAUSA300_RS11580;-;SAP domain-containing protein;0.21;0.94265;-0.44;0.15362;-0.3;0.5947;-0.34;0.38277
SAUSA300_RS11585;-;hypothetical protein;-3;0.55995;-0.31;1;0.23;1;-2.03;0.62165
SAUSA300_RS11590;-;Cof-type HAD-IIB family hydrolase;-0.79;0.87915;0.04;1;0.16;1;-0.01;1
SAUSA300_RS11595;-;ABC transporter ATP-binding protein;0.5;1;0.07;1;0.33;0.97418;-0.18;1
SAUSA300_RS11605;-;PTS mannitol transporter subunit IICB;0.37;0.89432;-0.15;0.95761;-0.13;0.99761;-0.09;1
SAUSA300_RS11610;-;BglG family transcription antiterminator;-0.07;1;-0.08;1;-0.01;1;-0.13;0.89558
SAUSA300_RS11615;-;PTS sugar transporter subunit IIA;1.8;0.94265;-0.45;1;-0.38;1;-0.29;1
SAUSA300_RS11620;-;mannitol-1-phosphate 5-dehydrogenase;0.2;1;-0.86;0.15362;-0.57;0.48369;-0.45;0.59689
SAUSA300_RS11625;fmtB;LPXTG-anchored DUF1542 repeat protein FmtB;0.08;1;-0.1;0.845;0.08;0.99975;-0.17;0.71063
SAUSA300_RS11630;glmM;phosphoglucosamine mutase;1.22;0.99554;-0.44;1;-0.29;1;-1;1
SAUSA300_RS11635;-;YbbR-like domain-containing protein;-1.71;0.08306;-2.17;0.00395;-1.65;0.00401;-2;0
SAUSA300_RS11645;rocF;arginase;0.61;0.84393;-0.06;1;-0.01;1;-0.31;0.92617
SAUSA300_RS11650;-;ISL3-like element IS1181 family transposase;0.3;0.99124;-0.52;0.23026;-0.32;0.67522;-0.58;0.20585
SAUSA300_RS11700;-;hypothetical protein;0.02;1;-0.58;0.29978;0.05;1;0.36;0.88532
SAUSA300_RS11705;-;P-loop NTPase;1.04;0.3936;2.14;0;1.73;0;1.47;0
SAUSA300_RS11710;lmrS;multidrug efflux MFS transporter LmrS;0.6;0.47619;0.27;0.2729;0.33;0.20153;0.27;0.37052
SAUSA300_RS11715;sepA;multidrug efflux transporter SepA;-0.43;1;0.95;0.2022;0.99;0.23284;0.46;0.92617
SAUSA300_RS11720;-;multidrug efflux MFS transporter SdrM;0.21;1;0;1;0.03;1;-0.19;0.94334
SAUSA300_RS11725;-;hemolysin III family protein;-0.72;0.69065;-0.64;0.31189;-1.38;0.00401;-0.55;0.38079
SAUSA300_RS11730;-;UDPGP type 1 family protein;-0.83;0.06712;-0.93;0;-1.14;0;-0.32;0.50239
SAUSA300_RS11735;-;metal-dependent hydrolase;-0.54;0.76439;-0.36;0.64282;-0.25;0.99166;-0.01;1
SAUSA300_RS11740;-;hypothetical protein;1.98;0.37932;2.21;0;2.21;0.00739;1.76;0.04108
SAUSA300_RS11745;-;YjiH family protein;-0.38;0.85259;-0.19;0.66252;0.04;1;-0.29;0.62165
SAUSA300_RS11750;-;iron chelate uptake ABC transporter family permease subunit;-0.44;0.85259;0.23;0.78619;0;1;0.23;0.76816
SAUSA300_RS11755;-;iron ABC transporter permease;0.11;1;-0.04;1;0.09;1;0.2;0.84379
SAUSA300_RS11760;-;Fe(3+) dicitrate ABC transporter substrate-binding protein;0.03;1;-0.08;1;-0.09;1;0.13;1
SAUSA300_RS11765;-;hypothetical protein;1.43;0.94265;0.75;0.35389;1.06;0.64931;0.85;0.31039
SAUSA300_RS11770;sfaC;staphyloferrin A biosynthesis protein SfaC;-0.18;1;-0.42;0.37531;-0.16;0.98416;-0.29;0.71063
SAUSA300_RS11775;sfaB;staphyloferrin A synthetase SfaB;-0.21;0.99554;-0.58;0.19442;-0.1;1;-0.4;0.51106
SAUSA300_RS11780;sfaA;staphyloferrin A export MFS transporter;0.29;0.95283;-0.04;1;0.03;1;0.08;1
SAUSA300_RS11785;sfaD;D-ornithine--citrate ligase SfaD;-0.27;0.99554;-0.4;0.34073;-0.11;1;-0.23;0.79675
SAUSA300_RS11805;-;Asp23/Gls24 family envelope stress response protein;-0.34;1;0.11;1;-0.19;1;-0.22;1
SAUSA300_RS11810;-;DUF2273 domain-containing protein;0.26;1;-0.23;0.9686;0;1;-0.13;1
SAUSA300_RS11815;amaP;alkaline shock response membrane anchor protein AmaP;-0.07;1;-0.38;0.92903;-0.48;0.80514;-0.28;0.98454
SAUSA300_RS11820;-;BCCT family transporter;0.08;1;-0.11;0.99426;-0.15;0.96952;-0.22;0.71063
SAUSA300_RS11825;-;zinc-binding alcohol dehydrogenase family protein;0.42;1;-0.02;1;-0.01;1;0.1;1
SAUSA300_RS11830;-;NADP-dependent oxidoreductase;0.91;0.62937;0.35;0.48817;0.51;0.20741;0.18;0.78233
SAUSA300_RS11835;-;alpha/beta hydrolase;0.12;1;-0.21;0.95761;-0.4;0.8348;-0.59;0.40935
SAUSA300_RS11840;lacG;6-phospho-beta-galactosidase;0.49;0.76439;0.07;1;0.28;0.67522;0.18;0.87719
SAUSA300_RS11845;-;lactose-specific PTS transporter subunit EIIC;0.4;0.85259;0.51;0.01811;0.55;0.00401;0.4;0.12937
SAUSA300_RS11850;-;PTS lactose/cellobiose transporter subunit IIA;1.76;1;0.44;0.98684;1.24;0.57579;0.09;1
SAUSA300_RS11855;lacD;tagatose-bisphosphate aldolase;0.04;1;-0.29;0.6838;0.01;1;-0.1;1
SAUSA300_RS11860;lacC;tagatose-6-phosphate kinase;0.45;0.85259;0.46;0.42;0.31;0.8348;0.28;0.86536
SAUSA300_RS11875;-;DeoR/GlpR family DNA-binding transcription regulator;1.79;0;0.6;0.12822;1.32;0;0.49;0.37052
SAUSA300_RS11880;-;NAD-dependent protein deacylase;-0.23;1;-0.6;0.47302;-0.26;0.98675;-0.33;0.84379
SAUSA300_RS11885;-;hypothetical protein;-1.64;0.99124;-0.92;0.93712;-0.7;1;-0.31;1
SAUSA300_RS11890;-;DUF3885 domain-containing protein;1.03;0.13008;0.29;0.45725;0.5;0.18407;0.33;0.51588
SAUSA300_RS11895;-;hypothetical protein;0.53;0.99124;-0.14;1;-0.31;0.99761;-0.09;1
SAUSA300_RS11900;-;aldo/keto reductase;0.04;1;-0.09;1;0.02;1;-0.05;1
SAUSA300_RS11905;-;MerR family transcriptional regulator;-0.55;0.90275;-0.68;0.53236;-0.5;0.72322;-0.79;0.46202
SAUSA300_RS11910;-;hypothetical protein;0.65;1;-0.82;0.53236;0.48;0.90823;-0.46;0.92617
SAUSA300_RS11915;hysA;hyaluronate lyase HysA;0.41;0.62937;-0.22;0.7068;-0.04;1;-0.17;0.82127
SAUSA300_RS11920;-;M23 family metallopeptidase;0.67;0.64902;0.16;0.91359;0.33;0.50152;0.27;0.60801
SAUSA300_RS11925;-;HAD-IIB family hydrolase;0.09;1;-0.07;1;-0.04;1;-0.19;1
SAUSA300_RS11930;-;MAP domain-containing protein;-0.65;0.94265;-1.44;0.21592;-1.12;0.54736;-1.26;0.41336
SAUSA300_RS11935;budA;acetolactate decarboxylase;-1.24;0.03035;-0.1;1;0.01;1;0.03;1
SAUSA300_RS11940;alsS;acetolactate synthase AlsS;0.35;0.99554;0;1;-0.16;1;-0.19;0.94334
SAUSA300_RS11945;-;hypothetical protein;0.05;1;-0.3;1;-0.44;0.96469;-0.31;1
SAUSA300_RS11950;-;hypothetical protein;-1.36;0.27121;-0.72;0.64282;-0.5;0.802;-0.72;0.71684
SAUSA300_RS11955;-;hypothetical protein;0.31;0.88771;0.07;1;-0.02;1;-0.05;1
SAUSA300_RS11960;-;AAA family ATPase;0.13;1;-0.15;0.88768;-0.12;0.99975;-0.07;1
SAUSA300_RS11965;-;DUF6414 family protein;-0.52;0.84393;0.2;0.95324;0.18;0.99975;0.33;0.59265
SAUSA300_RS11975;-;helicase;0.14;1;-0.34;0.53236;-0.27;0.67522;-0.27;0.67537
SAUSA300_RS11995;truA;tRNA pseudouridine(38-40) synthase TruA;-0.21;1;0.22;1;0.47;0.96469;0.61;0.74334
SAUSA300_RS12000;-;energy-coupling factor transporter transmembrane protein EcfT;0.63;1;-0.3;0.8264;0.77;0.80514;0.44;1
SAUSA300_RS12005;-;energy-coupling factor transporter ATPase;0.28;1;0.82;1;0.83;1;1.49;0.961
SAUSA300_RS12010;-;energy-coupling factor transporter ATPase;-0.13;1;0.88;1;0.04;1;0.4;1
SAUSA300_RS12160;-;hypothetical protein;0.42;0.85259;-0.27;0.77285;0.12;1;-0.1;1
SAUSA300_RS12165;-;NCS2 family permease;1.86;0;0.87;0.00693;1.27;0;0.98;0
SAUSA300_RS12170;-;DNA topoisomerase III;0.14;1;-0.53;0.16894;-0.21;0.94332;-0.33;0.59265
SAUSA300_RS12175;-;hypothetical protein;-0.74;0.7041;0.22;0.97831;0.43;0.98675;0.56;0.75246
SAUSA300_RS12180;-;GNAT family N-acetyltransferase;0.06;1;0.06;1;0.04;1;0.09;1
SAUSA300_RS12185;-;GRP family sugar transporter;0.05;1;-0.03;1;-0.02;1;-0.2;0.89558
SAUSA300_RS12190;-;hypothetical protein;0.71;0.91262;0.31;0.94943;-0.08;1;0.07;1
SAUSA300_RS12195;-;AEC family transporter;0.25;1;-0.09;1;-0.03;1;-0.22;0.94334
SAUSA300_RS12200;-;SE1832 family protein;2.77;0.96622;3.88;0.97831;3.97;0.08672;2.85;1
SAUSA300_RS12205;mspA;membrane stabilizing protein MspA;0;1;-0.4;1;-0.93;1;-0.93;1
SAUSA300_RS12210;-;efflux RND transporter permease subunit;0.46;0.58363;0.45;0.02752;0.49;0.01613;0.5;0.01358
SAUSA300_RS12215;femX;lipid II:glycine glycyltransferase;-1.1;0.99226;-0.68;0.94065;-1.67;0.89681;-0.03;1
SAUSA300_RS12220;-;hypothetical protein;-1.09;0.38753;-0.56;0.72823;-0.18;1;-0.4;0.90306
SAUSA300_RS12225;-;VOC family protein;0.41;1;0.02;1;0.29;0.98853;-0.12;1
SAUSA300_RS12230;-;winged helix DNA-binding protein;0.67;0.49024;-0.24;0.88768;-0.13;1;0.04;1
SAUSA300_RS12235;-;MFS transporter;-0.43;0.77745;-0.28;0.62465;-0.14;0.9968;-0.28;0.59265
SAUSA300_RS12240;sarV;HTH-type transcriptional regulator SarV;1.05;0.77745;0.15;1;0.09;1;0.38;0.76816
SAUSA300_RS12245;-;hypothetical protein;-0.85;0.9575;-0.15;1;-0.18;1;0.1;1
SAUSA300_RS12260;moaA;GTP 3'%2C8-cyclase MoaA;-0.14;1;0.14;0.98684;0.05;1;-0.06;1
SAUSA300_RS12265;mobA;molybdenum cofactor guanylyltransferase MobA;0.47;0.69065;0.17;0.94689;0.03;1;-0.06;1
SAUSA300_RS12270;moaD;molybdopterin converting factor subunit 1;0.45;1;0.06;1;-0.42;0.98416;-0.13;1
SAUSA300_RS12275;-;molybdenum cofactor biosynthesis protein MoaE;-0.95;0.39808;-0.01;1;-0.22;0.99166;0;1
SAUSA300_RS12280;mobB;molybdopterin-guanine dinucleotide biosynthesis protein B;0.54;1;-0.08;1;-0.37;1;-0.27;0.97746
SAUSA300_RS12285;-;molybdopterin molybdotransferase MoeA;-0.26;0.98491;-0.08;1;-0.18;0.91805;-0.14;1
SAUSA300_RS12290;moaC;cyclic pyranopterin monophosphate synthase MoaC;-1.36;0.25655;-0.27;1;-0.03;1;-0.18;1
SAUSA300_RS12295;-;molybdenum cofactor biosynthesis protein MoaB;0.32;0.97212;-0.06;1;-0.23;0.96469;-0.33;0.71684
SAUSA300_RS12300;-;ThiF family adenylyltransferase;-0.26;0.99226;-0.03;1;-0.13;0.98675;-0.18;0.92617
SAUSA300_RS12305;-;ATP-binding cassette domain-containing protein;0.5;0.81531;0.26;0.79712;0.14;0.98022;0.09;1
SAUSA300_RS12310;modB;molybdate ABC transporter permease subunit;-0.28;0.85259;0.13;0.94943;0.36;0.5947;0.22;0.74334
SAUSA300_RS12315;modA;molybdate ABC transporter substrate-binding protein;0.56;0.53608;0.11;0.94689;0.25;0.5947;0.07;1
SAUSA300_RS12320;fdhD;formate dehydrogenase accessory sulfurtransferase FdhD;0.58;0.84393;0.13;1;0.03;1;-0.26;0.78233
SAUSA300_RS12325;-;GNAT family N-acetyltransferase;0.13;1;-0.4;0.14035;-0.17;0.8831;-0.36;0.35809
SAUSA300_RS12330;-;biotin transporter BioY;0.2;1;-0.13;0.97831;-0.44;0.5412;-0.03;1
SAUSA300_RS12335;-;nucleoside hydrolase;-0.14;1;-0.09;1;-0.22;0.93389;-0.15;1
SAUSA300_RS12340;-;ABC transporter substrate-binding protein;0.26;0.99554;-0.41;0.30895;-0.28;0.7907;-0.32;0.67537
SAUSA300_RS12345;-;acyl-CoA/acyl-ACP dehydrogenase;0.07;1;-0.27;0.63204;-0.27;0.69942;-0.22;0.74334
SAUSA300_RS12350;yut;urea transporter;0.22;1;0.12;0.99426;0.21;0.8348;0.26;0.63014
SAUSA300_RS12355;-;urease subunit gamma;0.62;1;0.75;0.32293;0.42;0.64931;0.74;0.47213
SAUSA300_RS12360;-;urease subunit beta;-0.58;0.87915;-0.25;0.97452;-0.12;1;-0.29;1
SAUSA300_RS12365;ureC;urease subunit alpha;-0.72;0.03035;-0.24;0.52664;-0.15;0.94332;-0.13;0.85478
SAUSA300_RS12370;ureE;urease accessory protein UreE;1.61;0.44369;0.65;0.27878;0.91;0.17544;0.52;0.62165
SAUSA300_RS12375;-;urease accessory protein UreF;-0.69;0.57955;-0.53;0.44963;-0.33;0.87315;-0.42;0.7329
SAUSA300_RS12380;ureG;urease accessory protein UreG;0.24;1;-0.6;0.31189;-0.52;0.5947;-0.58;0.44763
SAUSA300_RS12385;-;urease accessory protein UreD;0.28;1;0.25;0.86942;-0.11;1;-0.04;1
SAUSA300_RS12390;sarR;HTH-type transcriptional regulator SarR;0.38;1;0.51;0.86942;0.51;0.63197;0.58;0.71684
SAUSA300_RS12400;-;PH domain-containing protein;-0.63;0.77745;-0.67;0.52664;-0.13;1;-0.66;0.59265
SAUSA300_RS12405;-;SarA family transcriptional regulator;0.08;1;-0.04;1;0.2;0.93389;0.24;0.74492
SAUSA300_RS12410;-;helix-turn-helix domain-containing protein;0.37;0.51106;-0.14;0.59997;-0.2;0.61022;-0.22;0.45303
SAUSA300_RS12415;-;CHAP domain-containing protein;1.04;0.37723;-1.21;0.31189;-0.93;0.59266;-0.75;0.67537
SAUSA300_RS12420;-;hypothetical protein;0.06;1;-0.77;0.79712;-0.89;0.76849;-1.2;0.48853
SAUSA300_RS12425;nhaC;Na+/H+ antiporter NhaC;0.21;1;0.05;1;-0.09;1;0.05;1
SAUSA300_RS12430;-;NAD/NADP-dependent octopine/nopaline dehydrogenase family protein;-0.14;1;0.16;0.98589;0.09;1;-0.03;1
SAUSA300_RS12435;-;DUF4870 domain-containing protein;-0.76;0.64902;-0.27;0.94943;-0.14;1;-0.04;1
SAUSA300_RS12440;-;CHAP domain-containing protein;0.11;1;-0.09;1;-0.33;0.75076;-0.1;1
SAUSA300_RS12450;-;2-hydroxyacid dehydrogenase family protein;-0.03;1;0.22;0.6838;0.38;0.49084;-0.04;1
SAUSA300_RS12455;-;FAD-dependent monooxygenase;0.09;1;0.16;0.81241;0.23;0.64931;0.11;1
SAUSA300_RS12460;-;N-acetylglucosaminidase;0.49;1;0.35;0.8569;0.31;0.92568;0.37;0.89558
SAUSA300_RS12465;-;hypothetical protein;-0.57;0.94265;0.47;0.87871;0.67;0.94332;0.52;0.79675
SAUSA300_RS12470;-;DUF1641 domain-containing protein;-0.36;1;0.23;0.94065;0.08;1;-0.06;1
SAUSA300_RS12475;fdhF;formate dehydrogenase subunit alpha;-0.05;1;0.15;0.74038;0.16;0.80514;0.02;1
SAUSA300_RS12480;-;LCP family protein;0.06;1;0.67;0.00395;0.64;0.01321;0.47;0.10561
SAUSA300_RS12485;-;inositol monophosphatase;0.42;0.8278;0.02;1;0.07;1;0.17;0.90306
SAUSA300_RS12490;-;YafY family transcriptional regulator;-0.7;0.62937;-0.23;0.81241;0.07;1;0.04;1
SAUSA300_RS12500;sdpB;CPBP family intramembrane metalloprotease SdpB;0.15;1;-0.36;0.52664;-0.2;0.94983;-0.28;0.67537
SAUSA300_RS12505;-;hypothetical protein;0.5;0.8278;0.08;1;0.02;1;0.06;1
SAUSA300_RS12510;-;MurR/RpiR family transcriptional regulator;0.77;0.55995;-0.06;1;0.07;1;-0.05;1
SAUSA300_RS12515;-;amino acid permease;0.45;0.74329;0.23;0.59997;0.29;0.36387;0.13;0.90306
SAUSA300_RS12520;-;hypothetical protein;-0.84;0.96622;-0.83;0.79712;-0.54;0.97418;-0.55;0.89558
SAUSA300_RS12525;-;hypothetical protein;0.35;1;-0.18;1;-0.41;0.94332;-0.51;0.71063
SAUSA300_RS12530;-;hypothetical protein;-1.74;0.54663;-0.94;0.74038;-1.11;0.76849;-0.91;0.67537
SAUSA300_RS12535;-;HAD family hydrolase;0;1;-0.31;0.46678;-0.26;0.69942;-0.44;0.21361
SAUSA300_RS12540;-;bile acid:sodium symporter family protein;-0.71;0.48025;-0.05;1;-0.06;1;0.03;1
SAUSA300_RS12545;-;hypothetical protein;0.23;1;0.38;0.66252;-0.13;1;0.32;0.79675
SAUSA300_RS12550;-;alpha-glucoside-specific PTS transporter subunit IIBC;0.1;1;-0.06;1;-0.28;0.69942;-0.2;0.82127
SAUSA300_RS12555;-;MurR/RpiR family transcriptional regulator;-0.04;1;-0.36;0.53236;-0.25;0.89681;-0.33;0.74492
SAUSA300_RS12560;-;SRPBCC domain-containing protein;-0.83;0.45917;0.33;0.89186;-0.44;0.8831;-0.8;0.26876
SAUSA300_RS12565;-;Na+/H+ antiporter NhaC family protein;0.32;0.89432;-0.04;1;0.09;1;-0.03;1
SAUSA300_RS12570;-;hypothetical protein;0.59;0.7041;-0.45;0.4251;-0.19;0.94332;-0.48;0.45901
SAUSA300_RS12575;-;SDR family oxidoreductase;0.14;1;-0.17;0.93712;0.01;1;0.18;0.97746
SAUSA300_RS12580;-;M20 peptidase aminoacylase family protein;0.46;0.95283;-0.03;1;0.27;0.96469;0.02;1
SAUSA300_RS12585;hutI;imidazolonepropionase;0.98;0.67203;1.11;0;1.23;0.02389;0.96;0.12937
SAUSA300_RS12590;hutU;urocanate hydratase;-0.72;0.49024;0.13;1;0.1;1;-0.11;1
SAUSA300_RS12595;-;LysR family transcriptional regulator;-0.4;0.8278;-0.22;0.89186;-0.15;0.98675;-0.15;0.98563
SAUSA300_RS12600;-;FosB1/FosB3 family fosfomycin resistance bacillithiol transferase;0.05;1;0.07;1;-0.03;1;-0.15;1
SAUSA300_RS12605;hutG;formimidoylglutamase;-0.71;0.89432;0.73;0.55493;0.38;0.802;0.14;1
SAUSA300_RS12610;sdpC;CPBP family intramembrane metalloprotease SdpC;1.72;0.0484;0.77;0.24951;0.6;0.5947;0.56;0.65789
SAUSA300_RS12615;-;ribose 5-phosphate isomerase A;-0.89;1;-1.04;0.99426;-0.78;1;0.31;1
SAUSA300_RS12620;-;MOSC domain-containing protein;0.21;1;0.01;1;0.03;1;0.1;1
SAUSA300_RS12630;-;galactose mutarotase;1.12;0.01727;0.01;1;0.11;0.98675;0.01;1
SAUSA300_RS12635;-;YnfA family protein;-0.26;1;0.28;0.78619;0.08;1;0.52;0.3464
SAUSA300_RS12640;-;ABC transporter permease;0.31;0.88771;-0.02;1;-0.09;1;-0.05;1
SAUSA300_RS12645;-;ABC transporter ATP-binding protein;-0.67;0.77745;-0.2;0.99937;0.14;1;-0.04;1
SAUSA300_RS12650;-;DUF805 domain-containing protein;-0.36;0.93212;-0.08;1;-0.06;1;-0.16;0.97746
SAUSA300_RS12655;-;DNA-3-methyladenine glycosylase;-0.69;0.72791;0.04;1;0.15;1;-0.06;1
SAUSA300_RS12660;gltS;sodium/glutamate symporter;-0.19;1;-0.3;0.52664;-0.18;0.90643;-0.26;0.67537
SAUSA300_RS12665;fni;type 2 isopentenyl-diphosphate Delta-isomerase;0.25;1;-0.43;1;-1.01;0.94983;-0.1;1
SAUSA300_RS12670;corA;magnesium/cobalt transporter CorA;0.21;1;0.03;1;0.29;0.72322;0.05;1
SAUSA300_RS12675;-;thioesterase family protein;0.07;1;-0.14;0.99426;-0.09;1;-0.1;1
SAUSA300_RS12680;-;hypothetical protein;-0.02;1;-0.08;1;0.12;1;-0.08;1
SAUSA300_RS12685;-;alpha/beta hydrolase;-0.19;1;-0.29;0.62465;-0.04;1;-0.33;0.67537
SAUSA300_RS12690;-;hypothetical protein;0.62;0.95283;0.92;0.03793;0.57;0.3763;0.46;0.59265
SAUSA300_RS12695;-;DHA2 family efflux MFS transporter permease subunit;0.12;1;0;1;-0.02;1;-0.01;1
SAUSA300_RS12700;-;HlyD family efflux transporter periplasmic adaptor subunit;0.47;0.9575;0.23;0.87871;0.43;0.39013;0.41;0.53536
SAUSA300_RS12705;-;TetR/AcrR family transcriptional regulator;0.39;0.94265;0.06;1;0.09;1;0.22;0.7329
SAUSA300_RS12710;-;multidrug effflux MFS transporter;0.01;1;-0.42;0.31652;-0.47;0.27013;-0.47;0.31039
SAUSA300_RS12715;-;hypothetical protein;0.22;1;1.11;0.14931;0.62;0.55732;0.65;0.60801
SAUSA300_RS12720;-;zinc ribbon domain-containing protein;0.3;0.79858;0.52;0.10641;0.44;0.16609;0.39;0.42388
SAUSA300_RS12730;-;MarR family transcriptional regulator;0.47;1;0.12;1;0.31;1;0.33;0.85478
SAUSA300_RS12735;-;YdcF family protein;0.12;1;0.17;0.78619;0.17;0.85164;0.28;0.51106
SAUSA300_RS12740;-;transposase;0.04;1;-0.28;0.61467;-0.31;0.67522;-0.45;0.30723
SAUSA300_RS12745;-;ABC transporter ATP-binding protein;0.79;0.90275;0.6;0.24548;0.82;0.20741;0.51;0.4939
SAUSA300_RS12750;-;ABC transporter permease;0;1;-0.16;0.91776;-0.17;0.98416;-0.13;1
SAUSA300_RS12755;hssR;DNA-binding heme response regulator HssR;0.37;0.99124;-0.57;0.52664;-0.39;0.85164;-0.27;0.9739
SAUSA300_RS12760;hssS;heme sensor histidine kinase HssS;0.25;0.99124;0.05;1;0.11;1;0.07;1
SAUSA300_RS12765;-;LytTR family DNA-binding domain-containing protein;0.03;1;-0.54;0.16194;-0.44;0.45142;-0.2;0.85478
SAUSA300_RS12770;-;DUF3021 domain-containing protein;1.48;0.02095;1.37;0;1.52;0;1.07;0
SAUSA300_RS12775;mqo;malate dehydrogenase (quinone);1.36;0.38277;1.82;0;1.43;0.04403;2.05;0
SAUSA300_RS12780;-;L-lactate permease;-0.08;1;-0.3;0.55493;-0.4;0.40231;-0.32;0.60801
SAUSA300_RS12785;-;CDP-glycerol glycerophosphotransferase family protein;0.05;1;-0.25;0.61467;0.08;1;0;1
SAUSA300_RS12790;-;hypothetical protein;-0.03;1;-0.04;1;0.26;0.92568;0.14;1
SAUSA300_RS12795;-;GNAT family N-acetyltransferase;0.16;1;0.12;1;0.12;1;0.13;1
